label,発生日時　　月,発生日時　　日,発生日時　　時,車道幅員,天候,地形,路面状態,道路形状,信号機
1,10,14,6,4,1,3,1,14,7
1,11,22,17,3,1,2,1,13,7
1,9,29,18,4,1,1,1,14,7
1,10,7,6,3,2,3,1,13,7
0,3,8,11,15,1,1,1,1,1
0,3,14,14,19,1,1,1,1,1
1,10,29,9,14,2,1,1,1,1
1,4,19,2,18,2,1,2,1,1
1,12,13,9,15,1,1,1,1,1
1,7,16,15,0,3,1,2,0,7
0,12,6,16,15,1,3,2,1,7
0,7,2,8,4,2,2,2,7,1
0,11,6,16,5,1,1,1,14,7
0,9,8,16,5,1,2,1,7,2
1,12,20,11,3,1,1,1,14,7
0,11,7,15,3,1,3,1,13,7
1,6,26,21,18,1,1,1,1,1
1,12,8,4,3,2,3,1,14,7
1,12,23,13,4,1,3,1,13,7
0,3,11,18,5,1,3,1,7,1
1,9,27,10,0,2,1,1,0,7
0,4,17,22,3,1,1,1,7,1
0,8,10,9,3,1,2,1,13,7
0,2,22,18,15,3,2,2,1,1
1,3,3,0,5,1,1,1,14,7
1,12,28,4,15,1,3,1,1,7
0,8,23,8,14,1,1,1,1,7
1,8,26,19,2,3,1,2,14,7
0,9,20,21,14,1,1,1,1,1
1,4,28,10,3,1,2,1,14,7
0,3,25,13,5,2,1,1,14,7
0,4,29,10,0,3,2,2,0,7
0,7,12,9,3,3,3,1,13,7
1,1,16,15,5,5,1,2,7,1
1,11,9,15,5,1,3,1,14,7
0,5,3,3,5,1,2,1,14,7
1,11,4,13,18,1,1,1,1,1
1,10,17,22,18,2,1,1,1,2
0,10,8,9,15,1,1,1,1,7
0,7,25,10,15,1,2,1,1,1
1,6,9,0,3,1,2,1,14,7
0,2,8,17,15,1,1,1,1,7
0,7,13,14,4,2,3,1,14,7
1,12,13,22,15,1,2,1,1,3
1,9,29,12,3,1,3,1,13,7
0,8,26,13,11,1,1,1,1,7
0,2,2,18,15,1,1,1,1,7
1,8,26,18,5,1,2,1,14,7
0,6,6,8,1,1,1,1,7,7
1,9,18,4,3,1,2,1,7,1
0,3,20,5,15,2,1,1,1,7
0,6,2,18,14,3,3,2,1,7
0,7,28,8,5,1,1,1,7,1
1,11,22,7,5,1,2,1,14,7
1,4,3,1,19,1,1,1,1,1
1,8,10,2,15,1,1,1,1,7
0,11,30,10,6,1,1,1,7,1
1,5,30,7,1,1,3,1,13,7
1,8,14,19,3,3,2,2,14,7
0,1,18,15,5,3,2,2,7,1
0,7,1,16,6,3,1,2,14,7
1,10,13,16,15,1,3,1,1,1
1,10,4,17,3,3,3,1,11,7
0,10,4,18,14,2,3,1,1,7
1,2,4,12,4,2,3,3,11,7
0,12,5,9,6,1,1,1,14,7
1,10,25,17,15,2,2,1,1,7
0,8,24,23,3,1,1,1,14,7
1,9,13,20,18,1,1,1,1,1
0,12,10,8,11,1,1,1,1,7
1,3,27,16,0,1,1,1,0,7
0,6,5,7,3,1,1,1,14,7
0,4,19,9,3,1,1,1,7,7
0,8,28,12,3,1,1,1,14,7
1,11,10,17,3,3,2,2,14,7
0,12,29,18,3,1,1,1,14,7
0,11,22,14,6,2,2,1,14,7
0,9,26,11,4,1,2,1,7,7
0,9,8,11,15,1,1,1,1,7
0,6,11,14,15,2,1,1,1,7
0,6,19,6,0,1,2,1,0,7
0,4,5,20,5,1,1,1,14,7
1,2,29,1,3,2,3,1,14,7
0,1,16,15,6,1,1,1,14,1
1,6,16,3,18,1,1,1,1,1
0,10,24,16,0,1,1,1,0,7
